id,SalePrice
1461,119765.09609141498
1462,163280.7027813094
1463,178875.57213007216
1464,201868.27872751633
1465,191854.63321524608
1466,167918.63113277845
1467,172029.2051781062
1468,156566.68872030373
1469,195391.52969139232
1470,113660.56643025333
1471,166952.49036135833
1472,98527.61162194818
1473,100335.32131030927
1474,147602.9255167319
1475,111528.07206770398
1476,347976.122575142
1477,247436.8832789053
1478,304727.2296100201
1479,290404.05851198355
1480,498166.40653319046
1481,317798.3247474537
1482,198285.92942763178
1483,179071.6905789862
1484,161808.61748240987
1485,175016.32662067004
1486,184602.9397979561
1487,339792.389048866
1488,221098.84680380367
1489,199693.10351101516
1490,253220.66068197327
1491,192863.44649753493
1492,99376.36091137686
1493,175708.56369685265
1494,290372.0052175949
1495,277675.94188010594
1496,230209.64981904777
1497,181280.8066483506
1498,182337.99491268003
1499,157493.73637654516
1500,151490.13978629684
1501,185928.15121457513
1502,139396.65782444354
1503,320836.2350101565
1504,236289.36995241616
1505,224301.26786322388
1506,192917.41514530338
1507,255884.99639347894
1508,198422.3202986186
1509,154329.03528424707
1510,144379.0996487914
1511,164701.0138473739
1512,170708.1985033305
1513,146188.5018190893
1514,155987.96574737353
1515,197167.90138181823
1516,153927.73801482696
1517,176121.14570671163
1518,126822.91688011053
1519,205893.055116064
1520,121911.8376378536
1521,130494.20621236741
1522,166488.10707308003
1523,118762.72631917274
1524,130849.04330601491
1525,119544.64798405913
1526,118229.86194621201
1527,112809.01137265611
1528,135129.96743210868
1529,151819.97519955225
1530,213160.35928241105
1531,129746.59787399907
1532,87207.8287972116
1533,154288.37289796735
1534,116013.81248307547
1535,144734.87815471375
1536,103019.46752430491
1537,57933.53968766535
1538,139566.8747924585
1539,233538.38999548487
1540,79886.25601286601
1541,138999.59050104054
1542,150997.25639211276
1543,190872.19430936337
1544,84729.19229730606
1545,118960.62891978338
1546,128218.03798944266
1547,138162.04473958167
1548,141028.19361703785
1549,123737.44598666864
1550,128218.33472456931
1551,105899.92615789192
1552,138205.82777584982
1553,139103.22368346926
1554,115468.97815509442
1555,152660.51122421282
1556,73303.65487155064
1557,133072.8361812049
1558,104533.69684919293
1559,59941.19594529479
1560,131661.5673915696
1561,145897.45508683662
1562,127729.9188465622
1563,117768.34070754354
1564,154062.81872308804
1565,146754.26023611613
1566,228642.20516226534
1567,75565.35023518695
1568,217309.78989976595
1569,141651.50292223887
1570,134816.39739921715
1571,122445.88981924424
1572,148057.00731954473
1573,213554.20615374364
1574,114305.18175111675
1575,230188.3806534738
1576,232241.26122617093
1577,177672.70562095335
1578,145357.8510212925
1579,141465.4759120087
1580,191136.35932707158
1581,148363.52972782543
1582,123194.02354791087
1583,286118.3585083119
1584,213930.6167534382
1585,137058.77021775328
1586,80399.77292537538
1587,107969.27724850591
1588,142123.53192970733
1589,90486.70224765789
1590,135834.66401496885
1591,94324.29383943138
1592,125297.07260973536
1593,127565.52278918058
1594,134489.15155519886
1595,108647.59178653163
1596,212847.37325265558
1597,197781.31916989986
1598,218925.0539727887
1599,162456.04544494563
1600,149990.72151601952
1601,57947.41227054472
1602,110905.99584606849
1603,69469.534718269
1604,261274.04369764947
1605,226494.6114502791
1606,161427.5270054283
1607,173232.2980187498
1608,211988.3640591423
1609,183723.9814939949
1610,150444.93435481173
1611,139691.61557355334
1612,174087.33943400372
1613,164870.71784386414
1614,124720.10900413785
1615,88631.94598753334
1616,79277.01614022246
1617,97032.79774550797
1618,136305.85429316238
1619,137545.03800365623
1620,136036.10652026607
1621,125595.27717369543
1622,142250.7659441715
1623,238024.09837719254
1624,197936.01798002113
1625,117087.72419411418
1626,162330.46726801686
1627,187615.58914719123
1628,276333.92860313534
1629,168688.10529572004
1630,371994.4410314178
1631,244457.8865503113
1632,247844.05471919855
1633,157193.66541201287
1634,180795.44120472023
1635,171039.3280368445
1636,146840.4685890462
1637,208690.06215009143
1638,186561.4218128737
1639,184583.67568190032
1640,244912.77550712306
1641,183199.84104930854
1642,242511.30149811288
1643,226573.04827449954
1644,241180.59759680933
1645,229114.38927094574
1646,154219.38817031513
1647,151229.31119938972
1648,127881.80823073677
1649,138102.8308636913
1650,113921.24667624428
1651,115961.6935254894
1652,98822.48043505744
1653,102049.86384866998
1654,147390.22945843276
1655,132595.20913450778
1656,139813.91567851562
1657,153363.8737241836
1658,146271.42880232874
1659,126085.32614969205
1660,147410.876792582
1661,438439.8243162673
1662,434150.24328581884
1663,363650.90821074886
1664,427288.2468848495
1665,297138.61975997064
1666,301683.78099294356
1667,401750.90870316996
1668,308371.5566269821
1669,298106.6407236718
1670,321837.1430470127
1671,261934.69770792115
1672,432835.25014945277
1673,277644.2849319985
1674,231045.80280517388
1675,190119.02290251598
1676,186194.65898866038
1677,216002.0641294734
1678,468826.75931073737
1679,392735.9022533117
1680,322523.97835269367
1681,237693.3090220861
1682,320143.526226004
1683,178914.87961183654
1684,167445.4817555874
1685,165909.70523932375
1686,166556.1059151956
1687,164018.14519097583
1688,178332.54979553036
1689,184496.87916300938
1690,189050.099417543
1691,176667.24395833162
